EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceLevel
419,2,3,2,Research & Development,Laboratory Technician,2,5674,7,No,3,11,9,8,0,Intermediate
420,4,2,2,Sales,Sales Executive,3,5484,1,No,3,13,13,8,4,Intermediate
421,1,2,3,Research & Development,Research Director,2,12061,3,No,3,19,10,8,0,Senior
422,4,1,2,Research & Development,Healthcare Representative,3,5660,2,Yes,3,12,5,3,1,Intermediate
423,3,3,1,Research & Development,Research Scientist,4,4821,0,Yes,3,6,5,2,0,Entry
424,1,2,2,Human Resources,Human Resources,1,6410,3,No,3,9,2,2,1,Entry
425,1,3,3,Research & Development,Laboratory Technician,1,5210,1,No,3,24,24,9,9,Senior
426,3,3,1,Research & Development,Research Scientist,4,2695,0,Yes,3,3,2,2,2,Entry
428,4,3,3,Research & Development,Manager,2,11878,6,No,3,12,10,6,8,Intermediate
429,3,3,4,Research & Development,Manager,1,17068,1,Yes,3,21,21,9,11,Senior
430,3,3,1,Research & Development,Laboratory Technician,4,2455,0,No,3,9,8,7,1,Entry
431,3,2,4,Research & Development,Healthcare Representative,3,13964,7,Yes,3,25,7,1,0,Senior
433,3,2,2,Research & Development,Research Scientist,2,4941,2,No,3,11,8,2,7,Intermediate
434,3,3,1,Research & Development,Research Scientist,2,2478,1,Yes,3,4,4,3,1,Entry
436,3,2,2,Sales,Sales Executive,2,5228,1,Yes,3,13,13,12,11,Intermediate
437,4,3,2,Sales,Sales Executive,3,4478,1,Yes,3,5,5,4,0,Entry
438,4,3,2,Sales,Sales Executive,4,7547,4,No,3,13,7,7,1,Intermediate
439,1,4,2,Research & Development,Research Scientist,4,5055,7,No,3,10,7,7,0,Intermediate
440,1,1,1,Research & Development,Research Scientist,4,3464,5,Yes,3,5,3,2,2,Entry
441,4,3,2,Research & Development,Research Scientist,4,5775,1,No,3,11,10,8,1,Intermediate
442,3,2,3,Research & Development,Manufacturing Director,3,8943,1,No,4,10,10,9,8,Intermediate
444,3,2,5,Research & Development,Manager,4,19272,1,No,3,21,21,9,13,Senior
445,4,3,2,Sales,Sales Executive,3,5238,4,Yes,3,12,1,0,0,Intermediate
446,2,2,2,Sales,Sales Executive,4,4682,3,No,3,9,7,7,0,Entry
447,4,3,5,Research & Development,Research Director,3,18300,4,No,3,21,3,2,1,Senior
448,3,2,2,Research & Development,Laboratory Technician,3,5257,1,No,3,9,9,7,0,Entry
449,3,3,2,Sales,Sales Executive,2,6349,0,Yes,3,6,5,4,1,Entry
450,4,3,2,Research & Development,Research Scientist,3,4869,3,No,3,20,4,3,0,Senior
451,3,3,3,Research & Development,Healthcare Representative,1,9985,8,No,3,10,1,0,0,Intermediate
452,4,3,2,Research & Development,Research Scientist,4,3697,9,No,3,12,10,9,9,Intermediate
453,2,1,2,Sales,Sales Executive,4,7457,2,Yes,4,6,4,3,0,Entry
454,2,1,1,Research & Development,Laboratory Technician,1,2119,1,Yes,3,7,7,7,0,Entry
455,2,2,1,Research & Development,Laboratory Technician,4,3983,0,No,3,4,3,2,2,Entry
456,4,2,2,Sales,Sales Executive,3,6118,1,No,3,10,10,9,1,Intermediate
458,2,3,2,Sales,Sales Executive,2,6214,1,No,3,8,8,7,0,Entry
460,4,3,2,Research & Development,Manufacturing Director,4,6347,7,No,3,8,6,2,0,Entry
461,3,2,3,Research & Development,Research Director,4,11510,0,Yes,3,12,11,10,2,Intermediate
462,3,3,3,Research & Development,Manufacturing Director,4,7143,1,Yes,3,11,11,9,4,Intermediate
463,4,2,2,Sales,Sales Executive,2,8268,1,Yes,3,7,7,7,1,Entry
464,3,3,3,Research & Development,Manufacturing Director,2,8095,0,No,3,17,16,6,0,Senior
465,3,3,1,Research & Development,Research Scientist,4,2904,1,No,3,4,4,2,0,Entry
466,4,2,2,Research & Development,Manufacturing Director,2,6032,6,Yes,3,8,5,4,1,Entry
467,2,3,2,Sales,Sales Representative,3,2976,3,No,3,5,0,0,0,Entry
468,1,3,4,Research & Development,Research Director,4,15992,2,No,3,16,1,0,0,Senior
469,4,3,2,Sales,Sales Executive,3,4649,1,No,3,4,4,3,0,Entry
470,3,3,1,Human Resources,Human Resources,3,2696,0,Yes,3,4,3,2,1,Entry
471,3,3,1,Research & Development,Laboratory Technician,2,2370,1,No,3,8,8,0,0,Entry
473,1,3,3,Sales,Manager,3,12504,3,No,4,15,0,0,0,Entry
474,3,4,2,Research & Development,Research Scientist,1,5974,4,Yes,3,13,7,7,6,Intermediate
475,4,3,2,Sales,Sales Executive,3,4736,7,Yes,3,4,2,2,2,Entry
476,3,3,2,Sales,Sales Executive,3,5296,1,No,3,8,8,7,7,Entry
477,1,2,2,Research & Development,Healthcare Representative,4,6781,3,No,4,14,1,0,0,Intermediate
478,1,2,1,Sales,Sales Representative,2,2174,1,Yes,3,3,3,2,1,Entry
479,4,3,2,Sales,Sales Executive,4,6653,4,No,3,7,1,0,0,Entry
481,1,2,3,Sales,Sales Executive,4,9699,4,No,3,16,13,9,1,Senior
482,4,3,2,Research & Development,Healthcare Representative,3,6755,2,No,3,15,3,2,1,Entry
483,4,4,1,Research & Development,Laboratory Technician,3,2213,3,Yes,3,10,7,7,1,Intermediate
484,1,3,1,Sales,Sales Representative,4,2610,1,No,4,3,3,2,2,Entry
485,4,3,1,Sales,Sales Representative,3,2851,1,Yes,3,1,1,0,0,Entry
486,3,3,1,Research & Development,Laboratory Technician,1,3452,6,No,4,17,5,4,0,Senior
487,3,3,2,Research & Development,Manufacturing Director,3,5258,2,No,3,7,1,0,0,Entry
488,1,3,2,Sales,Sales Executive,2,9355,1,No,3,8,8,7,7,Entry
491,4,2,3,Research & Development,Healthcare Representative,4,10496,6,No,3,20,4,3,1,Senior
492,3,2,2,Sales,Sales Executive,3,6380,2,Yes,3,8,6,4,1,Entry
493,3,2,1,Research & Development,Research Scientist,2,2657,0,Yes,3,3,2,2,2,Entry
494,3,4,1,Sales,Sales Representative,2,2716,1,No,3,1,1,0,0,Entry
495,4,3,1,Research & Development,Research Scientist,4,2201,9,No,3,6,3,2,1,Entry
496,3,2,2,Research & Development,Healthcare Representative,2,6540,9,No,3,10,1,1,0,Intermediate
497,4,3,1,Research & Development,Laboratory Technician,2,3816,1,No,3,5,5,2,0,Entry
498,2,3,2,Sales,Sales Executive,4,5253,1,No,3,7,7,5,0,Entry
499,2,2,3,Research & Development,Healthcare Representative,3,10965,8,No,4,26,5,2,0,Senior
500,3,3,2,Sales,Sales Executive,4,4936,4,No,3,18,7,7,0,Senior
501,4,3,1,Research & Development,Research Scientist,3,2543,4,No,3,6,2,2,2,Entry
502,1,4,2,Sales,Sales Executive,4,5304,8,Yes,3,9,5,2,0,Entry
505,3,3,4,Research & Development,Manager,4,16659,2,Yes,3,30,5,4,1,Senior
507,4,3,2,Sales,Sales Executive,3,4260,1,Yes,3,5,5,2,0,Entry
508,3,3,1,Sales,Sales Representative,2,2476,1,No,3,1,1,0,0,Entry
510,3,3,1,Research & Development,Research Scientist,1,3102,0,No,4,7,6,4,0,Entry
511,1,3,1,Research & Development,Research Scientist,2,2244,1,No,3,2,2,1,1,Entry
513,2,2,3,Sales,Sales Executive,3,7596,1,No,3,10,10,9,9,Intermediate
514,3,3,1,Research & Development,Research Scientist,4,2285,9,Yes,4,3,1,0,0,Entry
515,4,3,1,Research & Development,Laboratory Technician,1,3034,1,No,3,18,18,7,12,Senior
516,4,3,2,Sales,Sales Executive,2,5715,7,No,3,8,5,4,1,Entry
517,2,3,1,Research & Development,Laboratory Technician,1,2576,3,No,3,8,5,2,1,Entry
518,3,3,2,Research & Development,Manufacturing Director,2,4197,2,Yes,3,18,1,0,0,Senior
520,1,2,4,Research & Development,Research Director,2,14336,1,No,3,25,25,10,3,Senior
521,2,2,2,Research & Development,Laboratory Technician,3,3448,6,No,4,20,1,0,0,Senior
522,1,3,5,Research & Development,Research Director,1,19406,4,No,3,24,4,2,1,Senior
523,3,3,2,Sales,Sales Executive,3,6538,9,No,3,6,3,2,1,Entry
524,2,3,2,Research & Development,Manufacturing Director,1,4306,1,No,3,13,13,10,3,Intermediate
525,4,3,1,Research & Development,Laboratory Technician,4,2258,7,No,4,8,3,2,1,Entry
526,3,3,2,Research & Development,Healthcare Representative,3,4522,4,Yes,3,8,5,2,0,Entry
527,2,2,2,Sales,Sales Executive,4,4487,1,Yes,3,5,5,4,1,Entry
529,2,3,2,Research & Development,Research Scientist,3,4449,3,Yes,3,15,13,11,10,Entry
530,4,2,1,Research & Development,Laboratory Technician,1,2218,1,No,3,4,4,2,3,Entry
531,2,3,5,Research & Development,Manager,3,19197,1,Yes,3,21,21,8,1,Senior
532,3,4,4,Sales,Sales Executive,1,13212,9,No,3,36,7,7,7,Senior
533,2,3,2,Sales,Sales Executive,3,6577,0,No,3,6,5,4,4,Entry
534,2,4,3,Sales,Sales Executive,1,8392,1,No,3,10,10,7,0,Intermediate
536,3,3,2,Research & Development,Laboratory Technician,1,4558,1,No,3,10,10,0,1,Intermediate
538,1,3,1,Research & Development,Laboratory Technician,1,4031,5,No,3,6,2,2,0,Entry
543,4,2,3,Research & Development,Manufacturing Director,3,7969,2,Yes,3,28,5,4,0,Senior
544,1,3,1,Research & Development,Research Scientist,4,2654,3,No,4,8,2,2,0,Entry
546,4,3,4,Research & Development,Manager,4,16555,2,No,3,31,5,2,1,Senior
547,1,3,2,Research & Development,Research Scientist,3,4556,2,No,3,19,5,4,0,Senior
548,3,1,2,Research & Development,Manufacturing Director,4,6091,2,No,4,11,5,4,0,Intermediate
549,1,3,5,Research & Development,Manager,1,19566,5,No,3,33,29,8,11,Senior
550,3,3,2,Research & Development,Manufacturing Director,3,4810,2,No,3,19,10,7,0,Senior
551,4,2,2,Research & Development,Healthcare Representative,4,4523,0,No,3,7,6,5,0,Entry
554,1,3,1,Sales,Sales Representative,2,3202,1,Yes,3,6,5,3,1,Entry
555,4,1,1,Sales,Sales Representative,3,2351,0,No,3,3,2,2,1,Entry
556,4,3,1,Research & Development,Laboratory Technician,4,1702,1,Yes,4,1,1,0,0,Entry
558,3,3,5,Sales,Manager,3,18041,0,No,3,21,20,15,1,Senior
560,1,3,1,Research & Development,Research Scientist,4,2886,1,No,4,3,3,2,0,Entry
562,3,3,1,Research & Development,Laboratory Technician,4,2097,4,No,3,9,5,3,1,Entry
564,2,2,3,Research & Development,Research Director,3,11935,1,No,3,10,10,2,0,Intermediate
565,3,2,1,Research & Development,Research Scientist,2,2546,5,No,3,6,2,2,1,Entry
566,1,2,1,Human Resources,Human Resources,4,2564,1,No,3,1,1,0,0,Entry
567,3,3,3,Sales,Sales Executive,1,8412,0,No,3,10,9,8,7,Intermediate
568,1,2,4,Sales,Manager,4,14118,3,No,3,32,1,0,0,Senior
569,2,2,4,Research & Development,Manager,3,17046,0,No,3,28,27,10,15,Senior
571,3,3,1,Research & Development,Laboratory Technician,4,2564,0,No,3,12,11,7,6,Intermediate
573,3,2,3,Sales,Sales Executive,1,10266,4,No,3,22,18,13,13,Senior
574,1,3,2,Research & Development,Manufacturing Director,4,5070,5,No,3,20,5,0,0,Senior
575,1,3,4,Research & Development,Research Director,3,17861,6,No,3,26,3,2,0,Senior
577,4,1,1,Research & Development,Laboratory Technician,3,4230,0,No,3,6,5,4,4,Entry
578,3,3,2,Research & Development,Laboratory Technician,3,3780,7,No,3,19,1,0,0,Senior
579,4,2,1,Research & Development,Research Scientist,3,2768,3,No,3,14,7,3,5,Intermediate
580,3,2,3,Sales,Sales Executive,4,9071,2,Yes,3,15,3,2,1,Entry
581,3,3,3,Research & Development,Manufacturing Director,2,10648,1,No,4,13,13,8,0,Intermediate
582,2,3,3,Research & Development,Manager,3,13610,7,Yes,3,15,7,6,7,Entry
584,1,1,1,Research & Development,Laboratory Technician,4,3408,7,No,3,8,4,3,1,Entry
585,4,3,1,Sales,Sales Representative,2,2983,0,No,3,4,3,2,1,Entry
586,4,3,3,Research & Development,Healthcare Representative,3,7632,4,Yes,3,10,8,7,0,Intermediate
587,1,3,3,Research & Development,Healthcare Representative,3,9824,3,No,3,12,1,0,0,Intermediate
590,2,3,3,Human Resources,Human Resources,1,9950,9,Yes,3,11,3,2,0,Intermediate
591,2,3,1,Research & Development,Laboratory Technician,3,2093,4,No,3,8,2,2,2,Entry
592,2,3,3,Sales,Sales Executive,4,9980,1,No,3,10,10,3,9,Intermediate
593,3,2,1,Research & Development,Laboratory Technician,3,3894,5,No,3,4,2,2,1,Entry
595,2,3,2,Sales,Sales Executive,4,4051,2,No,3,14,9,7,6,Intermediate
597,1,3,4,Sales,Manager,2,16835,3,No,4,37,10,9,7,Senior
599,4,3,2,Sales,Sales Executive,4,6230,7,No,3,16,14,3,1,Senior
600,2,3,2,Sales,Sales Executive,3,4717,9,No,3,15,11,9,6,Entry
601,2,3,4,Research & Development,Manufacturing Director,3,13237,7,No,3,22,20,6,5,Senior
602,3,3,1,Research & Development,Laboratory Technician,3,3755,1,No,3,8,8,3,0,Entry
604,2,3,2,Sales,Sales Executive,4,6582,4,Yes,3,10,6,5,0,Intermediate
605,4,3,3,Research & Development,Manufacturing Director,1,7406,1,Yes,4,10,10,9,5,Intermediate
606,4,3,2,Sales,Sales Executive,2,4805,0,No,3,9,8,7,3,Entry
608,2,3,1,Human Resources,Human Resources,3,2741,0,Yes,3,8,7,7,1,Entry
611,4,3,2,Research & Development,Manufacturing Director,4,4262,4,No,3,8,3,2,1,Entry
612,1,4,4,Research & Development,Research Director,3,16184,4,No,3,10,6,1,0,Intermediate
613,3,2,3,Sales,Manager,4,11557,9,No,4,10,5,4,0,Intermediate
614,2,3,1,Sales,Sales Representative,2,1878,1,Yes,3,0,0,0,0,Entry
615,3,1,3,Sales,Sales Executive,1,10932,3,No,3,20,1,0,0,Senior
616,1,2,2,Research & Development,Healthcare Representative,3,6811,2,Yes,3,10,8,7,0,Intermediate
618,1,3,2,Sales,Sales Executive,3,4306,5,No,3,8,0,0,0,Entry
620,1,3,2,Sales,Sales Executive,3,4859,1,No,3,5,5,4,0,Entry
621,4,4,2,Sales,Sales Executive,4,5337,1,No,3,10,10,7,5,Intermediate
622,3,1,1,Research & Development,Laboratory Technician,4,2340,1,Yes,3,1,1,0,0,Entry
623,2,3,3,Research & Development,Manufacturing Director,4,7491,4,No,3,12,6,5,1,Intermediate
624,1,3,3,Research & Development,Healthcare Representative,3,10527,5,No,3,28,2,2,1,Senior
625,2,3,4,Sales,Manager,1,16595,7,No,3,22,18,16,11,Senior
626,1,3,3,Sales,Sales Executive,2,8834,1,No,3,9,9,5,7,Entry
630,4,3,2,Research & Development,Research Scientist,1,5577,3,Yes,3,18,10,9,6,Senior
631,4,4,2,Sales,Sales Executive,3,4707,8,No,3,6,4,2,1,Entry
632,4,3,1,Sales,Sales Representative,4,2400,0,No,3,3,2,2,2,Entry
634,3,3,2,Research & Development,Healthcare Representative,3,9824,3,No,3,18,1,0,0,Senior
635,2,3,2,Research & Development,Manufacturing Director,2,6447,6,No,3,8,6,5,4,Entry
638,4,2,5,Research & Development,Research Director,3,19502,1,Yes,3,31,31,9,0,Senior
639,2,4,1,Research & Development,Research Scientist,4,2725,1,Yes,3,6,6,5,1,Entry
641,1,3,2,Sales,Sales Executive,2,6272,1,No,4,6,5,3,1,Entry
643,4,2,1,Research & Development,Laboratory Technician,2,2127,1,No,4,1,1,0,0,Entry
644,1,3,5,Human Resources,Manager,2,18200,1,No,3,32,32,5,10,Senior
645,2,3,1,Sales,Sales Representative,3,2096,1,No,3,7,7,4,0,Entry
647,1,3,1,Research & Development,Laboratory Technician,3,2886,1,Yes,3,6,6,3,1,Entry
648,2,2,1,Sales,Sales Representative,1,2033,1,No,3,1,1,0,0,Entry
649,2,2,1,Research & Development,Research Scientist,4,3622,1,Yes,3,6,6,5,1,Entry
650,2,3,2,Sales,Sales Executive,1,4233,2,No,3,9,3,1,1,Entry
652,1,2,2,Research & Development,Laboratory Technician,4,3681,4,No,3,9,3,2,0,Entry
653,1,4,2,Sales,Sales Executive,4,5460,4,No,4,13,7,7,5,Intermediate
655,1,2,1,Research & Development,Research Scientist,3,2187,0,No,3,6,5,3,0,Entry
656,4,3,2,Sales,Sales Executive,3,9602,4,Yes,3,17,3,0,1,Senior
657,4,2,1,Research & Development,Research Scientist,2,2836,1,No,3,1,1,0,0,Entry
659,3,3,2,Research & Development,Healthcare Representative,4,4089,1,No,3,10,10,2,2,Intermediate
661,2,2,4,Research & Development,Research Director,4,16627,4,Yes,3,21,1,0,0,Senior
662,3,3,1,Research & Development,Research Scientist,1,2619,3,No,3,8,0,0,0,Entry
663,4,3,2,Research & Development,Laboratory Technician,3,5679,3,Yes,3,10,8,7,4,Intermediate
664,4,2,4,Research & Development,Manager,1,15402,7,No,3,21,3,2,0,Senior
665,1,2,2,Human Resources,Human Resources,3,5985,4,No,3,10,2,2,0,Intermediate
666,3,3,1,Sales,Sales Representative,3,2579,1,Yes,3,8,8,2,0,Entry
667,3,3,1,Sales,Sales Representative,1,3041,0,No,3,5,4,3,0,Entry
669,3,3,1,Sales,Sales Representative,3,3447,1,No,3,3,3,2,1,Entry
671,4,3,5,Research & Development,Manager,4,19513,4,Yes,3,26,2,2,0,Senior
675,1,3,1,Research & Development,Research Scientist,3,2773,0,No,4,3,2,2,2,Entry
677,3,3,2,Sales,Sales Executive,3,7104,0,No,3,6,5,0,1,Entry
679,1,3,2,Research & Development,Research Scientist,4,6322,1,Yes,3,6,6,4,0,Entry
680,3,3,1,Research & Development,Research Scientist,3,2083,1,No,4,1,1,0,0,Entry
682,4,3,2,Sales,Sales Executive,1,8381,7,No,4,18,14,7,8,Senior
683,2,3,1,Research & Development,Research Scientist,4,2691,1,No,3,10,10,9,8,Intermediate
684,1,3,2,Sales,Sales Executive,1,4286,2,No,3,5,1,1,0,Entry
686,3,3,1,Research & Development,Laboratory Technician,4,2659,1,Yes,3,3,3,2,0,Entry
689,3,3,3,Research & Development,Manufacturing Director,3,9434,1,No,3,10,10,7,7,Intermediate
690,2,3,2,Sales,Sales Executive,3,5561,1,No,3,6,6,0,1,Entry
691,2,1,2,Research & Development,Research Scientist,4,6646,1,No,3,17,17,11,11,Senior
692,3,3,2,Research & Development,Healthcare Representative,4,7725,3,No,4,15,13,11,4,Entry
698,3,3,3,Human Resources,Human Resources,2,10725,2,No,3,16,9,7,7,Senior
699,2,2,2,Research & Development,Manufacturing Director,2,8847,2,Yes,3,13,3,2,0,Intermediate
700,1,2,1,Research & Development,Research Scientist,4,2045,0,No,3,5,4,2,1,Entry
701,4,3,1,Research & Development,Research Scientist,3,1009,1,Yes,3,1,1,0,1,Entry
702,1,3,1,Research & Development,Research Scientist,1,3348,1,Yes,3,10,10,8,9,Intermediate
704,3,2,1,Research & Development,Laboratory Technician,3,1281,1,No,3,1,1,0,0,Entry
705,1,4,1,Research & Development,Research Scientist,1,2819,2,No,3,5,3,2,0,Entry
707,4,4,2,Sales,Sales Executive,2,4851,0,No,4,4,3,2,1,Entry
709,4,2,2,Sales,Sales Executive,4,4028,0,No,4,8,7,7,0,Entry
710,2,1,1,Research & Development,Research Scientist,4,2720,1,No,3,10,10,7,2,Intermediate
712,2,4,2,Sales,Sales Executive,2,8120,3,No,3,12,2,2,2,Intermediate
714,4,4,2,Sales,Sales Executive,4,4647,1,Yes,4,6,6,5,0,Entry
715,4,4,1,Research & Development,Research Scientist,4,4680,3,No,3,4,1,0,0,Entry
716,4,4,1,Research & Development,Laboratory Technician,3,3221,1,Yes,3,20,20,8,3,Senior
717,4,2,3,Research & Development,Healthcare Representative,2,8621,1,No,3,9,8,7,7,Entry
720,1,3,2,Sales,Sales Executive,3,4577,9,No,3,4,2,2,2,Entry
721,4,2,2,Research & Development,Healthcare Representative,3,4553,1,No,3,20,20,7,11,Senior
722,4,3,2,Sales,Sales Executive,4,5396,1,No,3,10,10,7,0,Intermediate
723,2,3,2,Sales,Sales Executive,3,6796,3,Yes,3,18,4,3,1,Senior
724,2,4,2,Research & Development,Healthcare Representative,4,7625,0,No,3,10,9,7,1,Intermediate
725,3,3,3,Research & Development,Manufacturing Director,1,7412,1,No,3,9,9,7,0,Entry
727,3,3,3,Research & Development,Research Director,4,11159,3,No,3,10,7,7,7,Intermediate
728,4,3,2,Sales,Sales Executive,1,4960,2,No,3,20,7,7,1,Senior
729,4,2,3,Sales,Sales Executive,1,10475,5,Yes,4,20,18,13,1,Senior
730,3,4,4,Research & Development,Research Director,3,14814,3,No,3,32,5,1,1,Senior
731,2,2,5,Human Resources,Manager,4,19141,3,No,3,23,21,6,12,Senior
732,1,3,2,Sales,Sales Executive,1,5405,8,No,3,10,2,2,2,Intermediate
733,4,3,3,Research & Development,Manufacturing Director,1,8793,1,No,4,9,9,7,1,Entry
734,4,2,5,Human Resources,Manager,3,19189,1,No,3,22,22,7,2,Senior
738,4,3,1,Sales,Sales Representative,2,3875,7,No,3,4,2,2,2,Entry
741,1,1,1,Research & Development,Research Scientist,2,2216,7,Yes,3,10,7,7,3,Intermediate
742,1,4,3,Research & Development,Research Director,1,11713,9,No,3,10,8,7,0,Intermediate
743,3,3,3,Research & Development,Manufacturing Director,3,7861,4,Yes,3,10,1,0,0,Intermediate
744,1,1,1,Research & Development,Laboratory Technician,3,3708,2,No,3,9,5,2,1,Entry
746,4,3,4,Sales,Sales Executive,3,13770,9,Yes,3,28,22,2,11,Senior
747,3,3,2,Sales,Sales Executive,4,5304,7,No,4,10,8,7,7,Intermediate
749,3,3,1,Sales,Sales Representative,3,2642,1,No,3,1,1,0,0,Entry
752,3,4,1,Research & Development,Research Scientist,3,2759,6,Yes,3,7,2,2,2,Entry
754,4,2,2,Sales,Sales Executive,4,6804,3,No,3,7,2,2,2,Entry
757,2,3,2,Research & Development,Healthcare Representative,3,6142,3,No,3,10,5,1,4,Intermediate
758,2,3,1,Research & Development,Laboratory Technician,1,2500,1,No,3,5,4,3,0,Entry
760,3,4,2,Human Resources,Human Resources,2,6389,9,No,3,12,8,3,3,Intermediate
762,3,3,4,Research & Development,Healthcare Representative,4,11103,7,No,3,30,10,7,1,Senior
763,4,2,1,Research & Development,Research Scientist,4,2342,0,Yes,4,5,4,2,2,Entry
764,4,2,2,Research & Development,Healthcare Representative,1,6811,8,No,3,9,7,6,0,Entry
766,4,3,1,Sales,Sales Representative,2,2297,1,No,3,2,2,2,2,Entry
769,4,3,2,Research & Development,Laboratory Technician,4,2450,2,No,3,19,2,2,2,Senior
771,4,3,2,Research & Development,Healthcare Representative,1,5093,2,No,3,16,1,0,0,Senior
772,1,3,2,Research & Development,Laboratory Technician,4,5309,1,No,3,10,10,8,4,Intermediate
773,4,3,1,Research & Development,Research Scientist,3,3057,6,Yes,3,6,1,0,0,Entry
775,2,3,2,Research & Development,Manufacturing Director,1,5121,3,No,3,7,0,0,0,Entry
776,3,2,4,Sales,Manager,1,16856,1,No,3,34,34,6,1,Senior
780,4,3,1,Research & Development,Research Scientist,4,2686,1,Yes,3,10,10,9,7,Intermediate
781,3,3,2,Sales,Sales Executive,4,6180,1,No,4,6,6,5,1,Entry
783,2,1,2,Sales,Sales Representative,3,6632,0,No,3,9,8,7,3,Entry
784,1,4,1,Research & Development,Research Scientist,3,3505,1,No,3,2,2,2,0,Entry
785,2,4,2,Sales,Sales Executive,3,6397,4,Yes,3,8,5,4,1,Entry
786,4,3,2,Sales,Sales Executive,4,6274,1,No,4,6,6,5,1,Entry
787,4,3,5,Research & Development,Manager,1,19859,5,Yes,3,24,5,2,1,Senior
789,1,2,3,Sales,Sales Executive,1,7587,1,No,3,10,10,7,0,Intermediate
791,4,3,1,Research & Development,Research Scientist,4,4258,0,No,3,5,4,3,1,Entry
792,1,1,1,Research & Development,Laboratory Technician,4,4364,3,No,3,5,2,2,2,Entry
793,2,3,2,Research & Development,Healthcare Representative,3,4335,4,No,3,11,8,7,1,Intermediate
796,4,2,2,Sales,Sales Executive,1,5326,6,No,3,6,4,3,1,Entry
797,2,4,1,Research & Development,Research Scientist,4,3280,2,No,3,10,4,2,1,Intermediate
799,4,3,2,Research & Development,Manufacturing Director,1,5485,9,Yes,3,9,5,3,1,Entry
800,3,3,2,Sales,Sales Executive,4,4342,0,No,3,5,4,2,1,Entry
802,4,3,1,Research & Development,Research Scientist,1,2782,0,Yes,3,6,5,3,4,Entry
803,1,4,2,Research & Development,Manufacturing Director,1,5980,6,Yes,3,17,15,7,4,Senior
804,3,2,1,Research & Development,Research Scientist,1,4381,1,No,3,6,6,5,1,Entry
805,1,3,1,Sales,Sales Representative,4,2572,1,No,3,3,3,2,0,Entry
806,4,1,1,Research & Development,Laboratory Technician,3,3833,3,No,4,7,2,2,0,Entry
807,3,4,2,Research & Development,Healthcare Representative,2,4244,1,No,4,8,8,7,3,Entry
808,3,3,2,Sales,Sales Executive,1,6500,5,No,3,6,3,2,1,Entry
809,2,3,5,Research & Development,Manager,4,18430,1,No,3,24,24,7,14,Senior
811,3,4,1,Research & Development,Laboratory Technician,1,1601,1,Yes,4,1,0,0,0,Entry
812,3,2,1,Research & Development,Laboratory Technician,2,2694,1,No,3,1,1,0,0,Entry
813,4,3,2,Research & Development,Laboratory Technician,3,3149,8,No,4,9,5,2,1,Entry
815,3,3,4,Research & Development,Research Director,3,17639,5,No,3,30,4,3,0,Senior
816,2,2,1,Research & Development,Laboratory Technician,1,2319,1,Yes,3,1,1,0,0,Entry
817,3,3,3,Research & Development,Research Director,3,11691,0,No,3,14,13,9,3,Intermediate
819,1,3,2,Sales,Sales Executive,1,5324,5,No,3,6,3,2,0,Entry
820,3,3,4,Research & Development,Manager,4,16752,1,Yes,3,26,26,14,3,Senior
823,3,3,2,Research & Development,Manufacturing Director,2,5228,0,No,3,10,9,7,0,Intermediate
824,3,4,1,Research & Development,Research Scientist,3,2700,1,No,4,10,10,7,0,Intermediate
825,4,3,5,Research & Development,Research Director,2,19246,7,Yes,3,40,31,15,13,Senior
826,4,4,1,Research & Development,Research Scientist,3,2506,3,No,3,7,2,2,2,Entry
827,4,2,2,Research & Development,Manufacturing Director,4,6062,9,Yes,3,8,4,3,0,Entry
828,3,3,1,Research & Development,Research Scientist,3,4382,6,No,3,5,2,2,2,Entry
829,3,3,1,Human Resources,Human Resources,2,2143,4,No,3,8,5,2,0,Entry
830,3,2,2,Research & Development,Manufacturing Director,3,6162,1,No,3,14,14,13,6,Intermediate
832,1,2,2,Research & Development,Laboratory Technician,3,5094,6,No,3,10,1,0,0,Intermediate
833,3,2,2,Research & Development,Manufacturing Director,4,6877,5,Yes,4,12,0,0,0,Intermediate
834,2,2,1,Research & Development,Research Scientist,3,2274,1,No,3,1,1,0,0,Entry
836,2,3,2,Research & Development,Manufacturing Director,2,4434,1,No,3,10,9,8,7,Intermediate
837,1,2,2,Research & Development,Healthcare Representative,1,6288,2,No,3,13,4,3,1,Intermediate
838,3,2,1,Research & Development,Research Scientist,4,2553,1,No,3,6,5,2,1,Entry
840,3,3,3,Sales,Sales Executive,4,7654,1,No,3,9,9,8,7,Entry
842,3,3,2,Sales,Sales Executive,4,5160,4,No,3,12,9,7,7,Intermediate
843,2,3,4,Research & Development,Research Director,1,17159,6,No,4,22,4,1,1,Senior
844,3,2,3,Research & Development,Research Director,4,12808,1,Yes,3,9,9,8,0,Entry
845,3,3,3,Research & Development,Manufacturing Director,3,10221,3,No,4,17,8,5,1,Senior
846,2,3,2,Sales,Sales Executive,2,4779,1,Yes,4,8,8,7,7,Entry
847,3,3,1,Human Resources,Human Resources,4,3737,0,No,3,4,3,2,0,Entry
848,3,2,1,Research & Development,Research Scientist,3,2366,1,Yes,3,8,8,7,1,Entry
