EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
460,4,3,2,Research & Development,Manufacturing Director,4,6347,7,No,3,8,6,2,0
461,3,2,3,Research & Development,Research Director,4,11510,0,Yes,3,12,11,10,2
462,3,3,3,Research & Development,Manufacturing Director,4,7143,1,Yes,3,11,11,9,4
463,4,2,2,Sales,Sales Executive,2,8268,1,Yes,3,7,7,7,1
464,3,3,3,Research & Development,Manufacturing Director,2,8095,0,No,3,17,16,6,0
465,3,3,1,Research & Development,Research Scientist,4,2904,1,No,3,4,4,2,0
466,4,2,2,Research & Development,Manufacturing Director,2,6032,6,Yes,3,8,5,4,1
467,2,3,2,Sales,Sales Representative,3,2976,3,No,3,5,0,0,0
468,1,3,4,Research & Development,Research Director,4,15992,2,No,3,16,1,0,0
469,4,3,2,Sales,Sales Executive,3,4649,1,No,3,4,4,3,0
470,3,3,1,Human Resources,Human Resources,3,2696,0,Yes,3,4,3,2,1
471,3,3,1,Research & Development,Laboratory Technician,2,2370,1,No,3,8,8,0,0
473,1,3,3,Sales,Manager,3,12504,3,No,4,15,0,0,0
474,3,4,2,Research & Development,Research Scientist,1,5974,4,Yes,3,13,7,7,6
475,4,3,2,Sales,Sales Executive,3,4736,7,Yes,3,4,2,2,2
476,3,3,2,Sales,Sales Executive,3,5296,1,No,3,8,8,7,7
477,1,2,2,Research & Development,Healthcare Representative,4,6781,3,No,4,14,1,0,0
478,1,2,1,Sales,Sales Representative,2,2174,1,Yes,3,3,3,2,1
479,4,3,2,Sales,Sales Executive,4,6653,4,No,3,7,1,0,0
481,1,2,3,Sales,Sales Executive,4,9699,4,No,3,16,13,9,1
482,4,3,2,Research & Development,Healthcare Representative,3,6755,2,No,3,15,3,2,1
483,4,4,1,Research & Development,Laboratory Technician,3,2213,3,Yes,3,10,7,7,1
484,1,3,1,Sales,Sales Representative,4,2610,1,No,4,3,3,2,2
485,4,3,1,Sales,Sales Representative,3,2851,1,Yes,3,1,1,0,0
486,3,3,1,Research & Development,Laboratory Technician,1,3452,6,No,4,17,5,4,0
487,3,3,2,Research & Development,Manufacturing Director,3,5258,2,No,3,7,1,0,0
488,1,3,2,Sales,Sales Executive,2,9355,1,No,3,8,8,7,7
491,4,2,3,Research & Development,Healthcare Representative,4,10496,6,No,3,20,4,3,1
492,3,2,2,Sales,Sales Executive,3,6380,2,Yes,3,8,6,4,1
493,3,2,1,Research & Development,Research Scientist,2,2657,0,Yes,3,3,2,2,2
494,3,4,1,Sales,Sales Representative,2,2716,1,No,3,1,1,0,0
495,4,3,1,Research & Development,Research Scientist,4,2201,9,No,3,6,3,2,1
496,3,2,2,Research & Development,Healthcare Representative,2,6540,9,No,3,10,1,1,0
497,4,3,1,Research & Development,Laboratory Technician,2,3816,1,No,3,5,5,2,0
498,2,3,2,Sales,Sales Executive,4,5253,1,No,3,7,7,5,0
499,2,2,3,Research & Development,Healthcare Representative,3,10965,8,No,4,26,5,2,0
500,3,3,2,Sales,Sales Executive,4,4936,4,No,3,18,7,7,0
501,4,3,1,Research & Development,Research Scientist,3,2543,4,No,3,6,2,2,2
502,1,4,2,Sales,Sales Executive,4,5304,8,Yes,3,9,5,2,0
505,3,3,4,Research & Development,Manager,4,16659,2,Yes,3,30,5,4,1
507,4,3,2,Sales,Sales Executive,3,4260,1,Yes,3,5,5,2,0
508,3,3,1,Sales,Sales Representative,2,2476,1,No,3,1,1,0,0
510,3,3,1,Research & Development,Research Scientist,1,3102,0,No,4,7,6,4,0
511,1,3,1,Research & Development,Research Scientist,2,2244,1,No,3,2,2,1,1
513,2,2,3,Sales,Sales Executive,3,7596,1,No,3,10,10,9,9
514,3,3,1,Research & Development,Research Scientist,4,2285,9,Yes,4,3,1,0,0
515,4,3,1,Research & Development,Laboratory Technician,1,3034,1,No,3,18,18,7,12
516,4,3,2,Sales,Sales Executive,2,5715,7,No,3,8,5,4,1
517,2,3,1,Research & Development,Laboratory Technician,1,2576,3,No,3,8,5,2,1
518,3,3,2,Research & Development,Manufacturing Director,2,4197,2,Yes,3,18,1,0,0
520,1,2,4,Research & Development,Research Director,2,14336,1,No,3,25,25,10,3
521,2,2,2,Research & Development,Laboratory Technician,3,3448,6,No,4,20,1,0,0
522,1,3,5,Research & Development,Research Director,1,19406,4,No,3,24,4,2,1
523,3,3,2,Sales,Sales Executive,3,6538,9,No,3,6,3,2,1
524,2,3,2,Research & Development,Manufacturing Director,1,4306,1,No,3,13,13,10,3
525,4,3,1,Research & Development,Laboratory Technician,4,2258,7,No,4,8,3,2,1
526,3,3,2,Research & Development,Healthcare Representative,3,4522,4,Yes,3,8,5,2,0
527,2,2,2,Sales,Sales Executive,4,4487,1,Yes,3,5,5,4,1
529,2,3,2,Research & Development,Research Scientist,3,4449,3,Yes,3,15,13,11,10
530,4,2,1,Research & Development,Laboratory Technician,1,2218,1,No,3,4,4,2,3
531,2,3,5,Research & Development,Manager,3,19197,1,Yes,3,21,21,8,1
532,3,4,4,Sales,Sales Executive,1,13212,9,No,3,36,7,7,7
533,2,3,2,Sales,Sales Executive,3,6577,0,No,3,6,5,4,4
534,2,4,3,Sales,Sales Executive,1,8392,1,No,3,10,10,7,0
536,3,3,2,Research & Development,Laboratory Technician,1,4558,1,No,3,10,10,0,1
538,1,3,1,Research & Development,Laboratory Technician,1,4031,5,No,3,6,2,2,0
543,4,2,3,Research & Development,Manufacturing Director,3,7969,2,Yes,3,28,5,4,0
544,1,3,1,Research & Development,Research Scientist,4,2654,3,No,4,8,2,2,0
546,4,3,4,Research & Development,Manager,4,16555,2,No,3,31,5,2,1
547,1,3,2,Research & Development,Research Scientist,3,4556,2,No,3,19,5,4,0
548,3,1,2,Research & Development,Manufacturing Director,4,6091,2,No,4,11,5,4,0
549,1,3,5,Research & Development,Manager,1,19566,5,No,3,33,29,8,11
550,3,3,2,Research & Development,Manufacturing Director,3,4810,2,No,3,19,10,7,0
551,4,2,2,Research & Development,Healthcare Representative,4,4523,0,No,3,7,6,5,0
554,1,3,1,Sales,Sales Representative,2,3202,1,Yes,3,6,5,3,1
555,4,1,1,Sales,Sales Representative,3,2351,0,No,3,3,2,2,1
556,4,3,1,Research & Development,Laboratory Technician,4,1702,1,Yes,4,1,1,0,0
558,3,3,5,Sales,Manager,3,18041,0,No,3,21,20,15,1
560,1,3,1,Research & Development,Research Scientist,4,2886,1,No,4,3,3,2,0
562,3,3,1,Research & Development,Laboratory Technician,4,2097,4,No,3,9,5,3,1
564,2,2,3,Research & Development,Research Director,3,11935,1,No,3,10,10,2,0
565,3,2,1,Research & Development,Research Scientist,2,2546,5,No,3,6,2,2,1
566,1,2,1,Human Resources,Human Resources,4,2564,1,No,3,1,1,0,0
567,3,3,3,Sales,Sales Executive,1,8412,0,No,3,10,9,8,7
568,1,2,4,Sales,Manager,4,14118,3,No,3,32,1,0,0
569,2,2,4,Research & Development,Manager,3,17046,0,No,3,28,27,10,15
571,3,3,1,Research & Development,Laboratory Technician,4,2564,0,No,3,12,11,7,6
573,3,2,3,Sales,Sales Executive,1,10266,4,No,3,22,18,13,13
574,1,3,2,Research & Development,Manufacturing Director,4,5070,5,No,3,20,5,0,0
575,1,3,4,Research & Development,Research Director,3,17861,6,No,3,26,3,2,0
577,4,1,1,Research & Development,Laboratory Technician,3,4230,0,No,3,6,5,4,4
578,3,3,2,Research & Development,Laboratory Technician,3,3780,7,No,3,19,1,0,0
579,4,2,1,Research & Development,Research Scientist,3,2768,3,No,3,14,7,3,5
580,3,2,3,Sales,Sales Executive,4,9071,2,Yes,3,15,3,2,1
581,3,3,3,Research & Development,Manufacturing Director,2,10648,1,No,4,13,13,8,0
582,2,3,3,Research & Development,Manager,3,13610,7,Yes,3,15,7,6,7
584,1,1,1,Research & Development,Laboratory Technician,4,3408,7,No,3,8,4,3,1
585,4,3,1,Sales,Sales Representative,2,2983,0,No,3,4,3,2,1
586,4,3,3,Research & Development,Healthcare Representative,3,7632,4,Yes,3,10,8,7,0
587,1,3,3,Research & Development,Healthcare Representative,3,9824,3,No,3,12,1,0,0
590,2,3,3,Human Resources,Human Resources,1,9950,9,Yes,3,11,3,2,0
591,2,3,1,Research & Development,Laboratory Technician,3,2093,4,No,3,8,2,2,2
592,2,3,3,Sales,Sales Executive,4,9980,1,No,3,10,10,3,9
593,3,2,1,Research & Development,Laboratory Technician,3,3894,5,No,3,4,2,2,1
595,2,3,2,Sales,Sales Executive,4,4051,2,No,3,14,9,7,6
597,1,3,4,Sales,Manager,2,16835,3,No,4,37,10,9,7
599,4,3,2,Sales,Sales Executive,4,6230,7,No,3,16,14,3,1
600,2,3,2,Sales,Sales Executive,3,4717,9,No,3,15,11,9,6
601,2,3,4,Research & Development,Manufacturing Director,3,13237,7,No,3,22,20,6,5
602,3,3,1,Research & Development,Laboratory Technician,3,3755,1,No,3,8,8,3,0
604,2,3,2,Sales,Sales Executive,4,6582,4,Yes,3,10,6,5,0
605,4,3,3,Research & Development,Manufacturing Director,1,7406,1,Yes,4,10,10,9,5
606,4,3,2,Sales,Sales Executive,2,4805,0,No,3,9,8,7,3
608,2,3,1,Human Resources,Human Resources,3,2741,0,Yes,3,8,7,7,1
611,4,3,2,Research & Development,Manufacturing Director,4,4262,4,No,3,8,3,2,1
612,1,4,4,Research & Development,Research Director,3,16184,4,No,3,10,6,1,0
613,3,2,3,Sales,Manager,4,11557,9,No,4,10,5,4,0
614,2,3,1,Sales,Sales Representative,2,1878,1,Yes,3,0,0,0,0
615,3,1,3,Sales,Sales Executive,1,10932,3,No,3,20,1,0,0
616,1,2,2,Research & Development,Healthcare Representative,3,6811,2,Yes,3,10,8,7,0
618,1,3,2,Sales,Sales Executive,3,4306,5,No,3,8,0,0,0
620,1,3,2,Sales,Sales Executive,3,4859,1,No,3,5,5,4,0
621,4,4,2,Sales,Sales Executive,4,5337,1,No,3,10,10,7,5
622,3,1,1,Research & Development,Laboratory Technician,4,2340,1,Yes,3,1,1,0,0
623,2,3,3,Research & Development,Manufacturing Director,4,7491,4,No,3,12,6,5,1
624,1,3,3,Research & Development,Healthcare Representative,3,10527,5,No,3,28,2,2,1
625,2,3,4,Sales,Manager,1,16595,7,No,3,22,18,16,11
626,1,3,3,Sales,Sales Executive,2,8834,1,No,3,9,9,5,7
630,4,3,2,Research & Development,Research Scientist,1,5577,3,Yes,3,18,10,9,6
631,4,4,2,Sales,Sales Executive,3,4707,8,No,3,6,4,2,1
632,4,3,1,Sales,Sales Representative,4,2400,0,No,3,3,2,2,2
634,3,3,2,Research & Development,Healthcare Representative,3,9824,3,No,3,18,1,0,0
635,2,3,2,Research & Development,Manufacturing Director,2,6447,6,No,3,8,6,5,4
638,4,2,5,Research & Development,Research Director,3,19502,1,Yes,3,31,31,9,0
639,2,4,1,Research & Development,Research Scientist,4,2725,1,Yes,3,6,6,5,1
641,1,3,2,Sales,Sales Executive,2,6272,1,No,4,6,5,3,1
643,4,2,1,Research & Development,Laboratory Technician,2,2127,1,No,4,1,1,0,0
644,1,3,5,Human Resources,Manager,2,18200,1,No,3,32,32,5,10
645,2,3,1,Sales,Sales Representative,3,2096,1,No,3,7,7,4,0
647,1,3,1,Research & Development,Laboratory Technician,3,2886,1,Yes,3,6,6,3,1
648,2,2,1,Sales,Sales Representative,1,2033,1,No,3,1,1,0,0
649,2,2,1,Research & Development,Research Scientist,4,3622,1,Yes,3,6,6,5,1
650,2,3,2,Sales,Sales Executive,1,4233,2,No,3,9,3,1,1
652,1,2,2,Research & Development,Laboratory Technician,4,3681,4,No,3,9,3,2,0
653,1,4,2,Sales,Sales Executive,4,5460,4,No,4,13,7,7,5
655,1,2,1,Research & Development,Research Scientist,3,2187,0,No,3,6,5,3,0
656,4,3,2,Sales,Sales Executive,3,9602,4,Yes,3,17,3,0,1
657,4,2,1,Research & Development,Research Scientist,2,2836,1,No,3,1,1,0,0
659,3,3,2,Research & Development,Healthcare Representative,4,4089,1,No,3,10,10,2,2
661,2,2,4,Research & Development,Research Director,4,16627,4,Yes,3,21,1,0,0
662,3,3,1,Research & Development,Research Scientist,1,2619,3,No,3,8,0,0,0
663,4,3,2,Research & Development,Laboratory Technician,3,5679,3,Yes,3,10,8,7,4
664,4,2,4,Research & Development,Manager,1,15402,7,No,3,21,3,2,0
665,1,2,2,Human Resources,Human Resources,3,5985,4,No,3,10,2,2,0
666,3,3,1,Sales,Sales Representative,3,2579,1,Yes,3,8,8,2,0
667,3,3,1,Sales,Sales Representative,1,3041,0,No,3,5,4,3,0
669,3,3,1,Sales,Sales Representative,3,3447,1,No,3,3,3,2,1
671,4,3,5,Research & Development,Manager,4,19513,4,Yes,3,26,2,2,0
675,1,3,1,Research & Development,Research Scientist,3,2773,0,No,4,3,2,2,2
677,3,3,2,Sales,Sales Executive,3,7104,0,No,3,6,5,0,1
679,1,3,2,Research & Development,Research Scientist,4,6322,1,Yes,3,6,6,4,0
680,3,3,1,Research & Development,Research Scientist,3,2083,1,No,4,1,1,0,0
682,4,3,2,Sales,Sales Executive,1,8381,7,No,4,18,14,7,8
683,2,3,1,Research & Development,Research Scientist,4,2691,1,No,3,10,10,9,8
684,1,3,2,Sales,Sales Executive,1,4286,2,No,3,5,1,1,0
686,3,3,1,Research & Development,Laboratory Technician,4,2659,1,Yes,3,3,3,2,0
689,3,3,3,Research & Development,Manufacturing Director,3,9434,1,No,3,10,10,7,7
690,2,3,2,Sales,Sales Executive,3,5561,1,No,3,6,6,0,1
691,2,1,2,Research & Development,Research Scientist,4,6646,1,No,3,17,17,11,11
692,3,3,2,Research & Development,Healthcare Representative,4,7725,3,No,4,15,13,11,4
698,3,3,3,Human Resources,Human Resources,2,10725,2,No,3,16,9,7,7
699,2,2,2,Research & Development,Manufacturing Director,2,8847,2,Yes,3,13,3,2,0
700,1,2,1,Research & Development,Research Scientist,4,2045,0,No,3,5,4,2,1
701,4,3,1,Research & Development,Research Scientist,3,1009,1,Yes,3,1,1,0,1
702,1,3,1,Research & Development,Research Scientist,1,3348,1,Yes,3,10,10,8,9
704,3,2,1,Research & Development,Laboratory Technician,3,1281,1,No,3,1,1,0,0
705,1,4,1,Research & Development,Research Scientist,1,2819,2,No,3,5,3,2,0
707,4,4,2,Sales,Sales Executive,2,4851,0,No,4,4,3,2,1
709,4,2,2,Sales,Sales Executive,4,4028,0,No,4,8,7,7,0
710,2,1,1,Research & Development,Research Scientist,4,2720,1,No,3,10,10,7,2
712,2,4,2,Sales,Sales Executive,2,8120,3,No,3,12,2,2,2
714,4,4,2,Sales,Sales Executive,4,4647,1,Yes,4,6,6,5,0
715,4,4,1,Research & Development,Research Scientist,4,4680,3,No,3,4,1,0,0
716,4,4,1,Research & Development,Laboratory Technician,3,3221,1,Yes,3,20,20,8,3
717,4,2,3,Research & Development,Healthcare Representative,2,8621,1,No,3,9,8,7,7
720,1,3,2,Sales,Sales Executive,3,4577,9,No,3,4,2,2,2
721,4,2,2,Research & Development,Healthcare Representative,3,4553,1,No,3,20,20,7,11
722,4,3,2,Sales,Sales Executive,4,5396,1,No,3,10,10,7,0
723,2,3,2,Sales,Sales Executive,3,6796,3,Yes,3,18,4,3,1
724,2,4,2,Research & Development,Healthcare Representative,4,7625,0,No,3,10,9,7,1
725,3,3,3,Research & Development,Manufacturing Director,1,7412,1,No,3,9,9,7,0
727,3,3,3,Research & Development,Research Director,4,11159,3,No,3,10,7,7,7
728,4,3,2,Sales,Sales Executive,1,4960,2,No,3,20,7,7,1
729,4,2,3,Sales,Sales Executive,1,10475,5,Yes,4,20,18,13,1
730,3,4,4,Research & Development,Research Director,3,14814,3,No,3,32,5,1,1
731,2,2,5,Human Resources,Manager,4,19141,3,No,3,23,21,6,12
732,1,3,2,Sales,Sales Executive,1,5405,8,No,3,10,2,2,2
733,4,3,3,Research & Development,Manufacturing Director,1,8793,1,No,4,9,9,7,1
734,4,2,5,Human Resources,Manager,3,19189,1,No,3,22,22,7,2
738,4,3,1,Sales,Sales Representative,2,3875,7,No,3,4,2,2,2
741,1,1,1,Research & Development,Research Scientist,2,2216,7,Yes,3,10,7,7,3
742,1,4,3,Research & Development,Research Director,1,11713,9,No,3,10,8,7,0
743,3,3,3,Research & Development,Manufacturing Director,3,7861,4,Yes,3,10,1,0,0
744,1,1,1,Research & Development,Laboratory Technician,3,3708,2,No,3,9,5,2,1
746,4,3,4,Sales,Sales Executive,3,13770,9,Yes,3,28,22,2,11
747,3,3,2,Sales,Sales Executive,4,5304,7,No,4,10,8,7,7
749,3,3,1,Sales,Sales Representative,3,2642,1,No,3,1,1,0,0
752,3,4,1,Research & Development,Research Scientist,3,2759,6,Yes,3,7,2,2,2
754,4,2,2,Sales,Sales Executive,4,6804,3,No,3,7,2,2,2
757,2,3,2,Research & Development,Healthcare Representative,3,6142,3,No,3,10,5,1,4
758,2,3,1,Research & Development,Laboratory Technician,1,2500,1,No,3,5,4,3,0
760,3,4,2,Human Resources,Human Resources,2,6389,9,No,3,12,8,3,3
762,3,3,4,Research & Development,Healthcare Representative,4,11103,7,No,3,30,10,7,1
763,4,2,1,Research & Development,Research Scientist,4,2342,0,Yes,4,5,4,2,2
764,4,2,2,Research & Development,Healthcare Representative,1,6811,8,No,3,9,7,6,0
766,4,3,1,Sales,Sales Representative,2,2297,1,No,3,2,2,2,2
769,4,3,2,Research & Development,Laboratory Technician,4,2450,2,No,3,19,2,2,2
771,4,3,2,Research & Development,Healthcare Representative,1,5093,2,No,3,16,1,0,0
772,1,3,2,Research & Development,Laboratory Technician,4,5309,1,No,3,10,10,8,4
773,4,3,1,Research & Development,Research Scientist,3,3057,6,Yes,3,6,1,0,0
775,2,3,2,Research & Development,Manufacturing Director,1,5121,3,No,3,7,0,0,0
776,3,2,4,Sales,Manager,1,16856,1,No,3,34,34,6,1
780,4,3,1,Research & Development,Research Scientist,4,2686,1,Yes,3,10,10,9,7
781,3,3,2,Sales,Sales Executive,4,6180,1,No,4,6,6,5,1
783,2,1,2,Sales,Sales Representative,3,6632,0,No,3,9,8,7,3
784,1,4,1,Research & Development,Research Scientist,3,3505,1,No,3,2,2,2,0
785,2,4,2,Sales,Sales Executive,3,6397,4,Yes,3,8,5,4,1
786,4,3,2,Sales,Sales Executive,4,6274,1,No,4,6,6,5,1
787,4,3,5,Research & Development,Manager,1,19859,5,Yes,3,24,5,2,1
789,1,2,3,Sales,Sales Executive,1,7587,1,No,3,10,10,7,0
791,4,3,1,Research & Development,Research Scientist,4,4258,0,No,3,5,4,3,1
792,1,1,1,Research & Development,Laboratory Technician,4,4364,3,No,3,5,2,2,2
793,2,3,2,Research & Development,Healthcare Representative,3,4335,4,No,3,11,8,7,1
796,4,2,2,Sales,Sales Executive,1,5326,6,No,3,6,4,3,1
797,2,4,1,Research & Development,Research Scientist,4,3280,2,No,3,10,4,2,1
799,4,3,2,Research & Development,Manufacturing Director,1,5485,9,Yes,3,9,5,3,1
800,3,3,2,Sales,Sales Executive,4,4342,0,No,3,5,4,2,1
802,4,3,1,Research & Development,Research Scientist,1,2782,0,Yes,3,6,5,3,4
803,1,4,2,Research & Development,Manufacturing Director,1,5980,6,Yes,3,17,15,7,4
804,3,2,1,Research & Development,Research Scientist,1,4381,1,No,3,6,6,5,1
805,1,3,1,Sales,Sales Representative,4,2572,1,No,3,3,3,2,0
806,4,1,1,Research & Development,Laboratory Technician,3,3833,3,No,4,7,2,2,0
807,3,4,2,Research & Development,Healthcare Representative,2,4244,1,No,4,8,8,7,3
808,3,3,2,Sales,Sales Executive,1,6500,5,No,3,6,3,2,1
809,2,3,5,Research & Development,Manager,4,18430,1,No,3,24,24,7,14
811,3,4,1,Research & Development,Laboratory Technician,1,1601,1,Yes,4,1,0,0,0
812,3,2,1,Research & Development,Laboratory Technician,2,2694,1,No,3,1,1,0,0
813,4,3,2,Research & Development,Laboratory Technician,3,3149,8,No,4,9,5,2,1
815,3,3,4,Research & Development,Research Director,3,17639,5,No,3,30,4,3,0
816,2,2,1,Research & Development,Laboratory Technician,1,2319,1,Yes,3,1,1,0,0
817,3,3,3,Research & Development,Research Director,3,11691,0,No,3,14,13,9,3
819,1,3,2,Sales,Sales Executive,1,5324,5,No,3,6,3,2,0
820,3,3,4,Research & Development,Manager,4,16752,1,Yes,3,26,26,14,3
823,3,3,2,Research & Development,Manufacturing Director,2,5228,0,No,3,10,9,7,0
824,3,4,1,Research & Development,Research Scientist,3,2700,1,No,4,10,10,7,0
825,4,3,5,Research & Development,Research Director,2,19246,7,Yes,3,40,31,15,13
826,4,4,1,Research & Development,Research Scientist,3,2506,3,No,3,7,2,2,2
827,4,2,2,Research & Development,Manufacturing Director,4,6062,9,Yes,3,8,4,3,0
828,3,3,1,Research & Development,Research Scientist,3,4382,6,No,3,5,2,2,2
829,3,3,1,Human Resources,Human Resources,2,2143,4,No,3,8,5,2,0
830,3,2,2,Research & Development,Manufacturing Director,3,6162,1,No,3,14,14,13,6
832,1,2,2,Research & Development,Laboratory Technician,3,5094,6,No,3,10,1,0,0
833,3,2,2,Research & Development,Manufacturing Director,4,6877,5,Yes,4,12,0,0,0
834,2,2,1,Research & Development,Research Scientist,3,2274,1,No,3,1,1,0,0
836,2,3,2,Research & Development,Manufacturing Director,2,4434,1,No,3,10,9,8,7
837,1,2,2,Research & Development,Healthcare Representative,1,6288,2,No,3,13,4,3,1
838,3,2,1,Research & Development,Research Scientist,4,2553,1,No,3,6,5,2,1
840,3,3,3,Sales,Sales Executive,4,7654,1,No,3,9,9,8,7
842,3,3,2,Sales,Sales Executive,4,5160,4,No,3,12,9,7,7
843,2,3,4,Research & Development,Research Director,1,17159,6,No,4,22,4,1,1
844,3,2,3,Research & Development,Research Director,4,12808,1,Yes,3,9,9,8,0
845,3,3,3,Research & Development,Manufacturing Director,3,10221,3,No,4,17,8,5,1
846,2,3,2,Sales,Sales Executive,2,4779,1,Yes,4,8,8,7,7
847,3,3,1,Human Resources,Human Resources,4,3737,0,No,3,4,3,2,0
848,3,2,1,Research & Development,Research Scientist,3,2366,1,Yes,3,8,8,7,1
850,4,3,1,Research & Development,Research Scientist,4,1706,1,No,3,0,0,0,0
851,1,3,4,Sales,Manager,3,16307,2,No,3,29,20,6,4
852,4,3,2,Research & Development,Healthcare Representative,2,5933,9,No,3,10,5,2,2
854,1,4,1,Research & Development,Research Scientist,1,3424,7,No,3,6,4,3,0
855,1,4,2,Sales,Sales Executive,1,4037,1,No,4,9,9,8,0
856,3,2,1,Research & Development,Research Scientist,1,2559,1,No,3,6,6,5,1
857,2,3,2,Sales,Sales Executive,4,6201,1,Yes,3,18,18,14,4
859,2,3,2,Sales,Sales Executive,4,4403,2,No,3,8,5,2,0
861,2,2,1,Research & Development,Research Scientist,4,3761,9,No,3,10,5,4,0
862,1,2,3,Sales,Sales Executive,4,10934,7,Yes,3,35,5,2,0
864,4,3,3,Sales,Sales Executive,1,10761,4,Yes,3,18,5,4,0
865,3,4,2,Research & Development,Research Scientist,3,5175,5,No,3,9,5,3,1
867,3,2,4,Research & Development,Manufacturing Director,4,13826,3,No,4,31,9,8,0
868,4,2,2,Sales,Sales Executive,3,6334,4,No,3,9,1,0,0
869,2,2,1,Human Resources,Human Resources,4,4936,1,No,3,6,5,1,0
872,4,2,2,Research & Development,Manufacturing Director,4,4775,6,No,4,4,2,2,2
874,1,4,1,Research & Development,Laboratory Technician,4,2818,2,Yes,4,10,3,2,0
875,2,3,1,Research & Development,Research Scientist,4,2515,5,Yes,3,8,2,1,2
878,1,2,1,Human Resources,Human Resources,1,2342,0,No,4,6,5,4,0
879,3,3,2,Sales,Sales Executive,1,4194,1,Yes,3,5,5,3,0
880,4,2,3,Research & Development,Manufacturing Director,3,10685,1,Yes,4,17,17,14,5
881,4,3,1,Research & Development,Research Scientist,2,2022,1,Yes,3,10,10,2,7
882,4,3,1,Research & Development,Laboratory Technician,4,2314,0,No,3,4,3,0,0
885,3,2,2,Sales,Sales Executive,1,4256,1,No,3,5,5,2,0
887,3,3,1,Research & Development,Research Scientist,1,3580,2,No,3,7,4,2,0
888,1,2,1,Research & Development,Laboratory Technician,4,3162,0,No,3,6,5,2,3
889,2,3,2,Sales,Sales Executive,2,6524,1,No,3,10,10,8,5
893,2,2,1,Sales,Sales Representative,2,2899,0,No,3,3,2,2,1
894,3,4,2,Research & Development,Laboratory Technician,4,5231,2,Yes,3,17,5,3,1
895,4,3,1,Research & Development,Research Scientist,4,2356,3,Yes,3,8,6,4,0
896,2,2,1,Sales,Sales Representative,3,2800,6,Yes,3,5,3,2,0
897,1,3,4,Sales,Sales Executive,4,11836,5,No,3,28,2,0,2
899,4,2,3,Research & Development,Manufacturing Director,2,10903,3,No,3,16,13,10,4
900,3,3,1,Sales,Sales Representative,4,2973,5,No,3,10,5,4,0
901,4,3,4,Research & Development,Research Director,4,14275,6,No,3,33,12,9,3
902,4,3,2,Research & Development,Healthcare Representative,4,5562,4,No,3,12,5,2,2
903,3,3,2,Sales,Sales Executive,4,4537,0,Yes,4,8,7,6,7
904,1,3,3,Sales,Sales Executive,2,7642,1,Yes,3,10,10,0,0
905,1,3,4,Research & Development,Manager,1,17924,1,No,3,31,31,6,14
909,4,2,2,Human Resources,Human Resources,4,5204,8,No,3,13,5,4,0
910,4,3,1,Human Resources,Human Resources,2,2277,3,Yes,3,7,4,3,0
911,1,3,1,Research & Development,Laboratory Technician,4,2795,1,Yes,4,1,1,0,0
912,1,2,1,Research & Development,Laboratory Technician,4,2532,6,No,3,8,4,3,0
913,2,3,1,Research & Development,Research Scientist,1,2559,1,Yes,3,8,8,7,7
916,1,3,2,Sales,Sales Executive,4,4908,1,No,3,4,4,2,0
918,4,2,1,Research & Development,Laboratory Technician,4,2380,9,Yes,3,3,1,0,0
920,1,3,2,Research & Development,Manufacturing Director,2,4765,4,No,4,4,1,0,0
922,3,2,1,Sales,Sales Representative,3,2044,1,No,3,2,2,2,0
923,4,3,1,Research & Development,Research Scientist,4,2693,1,No,3,1,1,0,0
924,3,3,2,Research & Development,Healthcare Representative,4,6586,0,Yes,3,17,16,8,4
925,4,2,1,Sales,Sales Representative,4,3294,1,Yes,3,3,3,2,1
926,2,3,2,Research & Development,Manufacturing Director,3,4171,0,Yes,3,4,3,2,0
927,2,1,1,Research & Development,Laboratory Technician,4,2778,4,Yes,3,10,7,7,1
930,3,3,1,Research & Development,Research Scientist,3,2377,5,No,3,6,2,2,2
932,4,3,1,Research & Development,Laboratory Technician,1,2404,7,Yes,4,8,2,2,2
933,2,3,1,Research & Development,Research Scientist,3,2318,1,No,3,1,1,1,0
934,2,3,1,Research & Development,Laboratory Technician,2,2008,1,No,3,1,1,0,1
936,3,2,2,Sales,Sales Executive,3,6244,7,No,3,10,5,4,0
939,3,2,1,Research & Development,Research Scientist,1,2799,3,Yes,3,6,3,2,0
940,3,2,3,Research & Development,Healthcare Representative,2,10552,2,Yes,3,24,6,0,0
941,2,2,1,Sales,Sales Representative,3,2329,3,No,3,13,7,7,5
942,4,3,2,Research & Development,Healthcare Representative,4,4014,1,Yes,4,10,10,6,0
944,1,3,3,Research & Development,Laboratory Technician,2,7403,4,No,3,29,26,9,1
945,4,3,1,Research & Development,Research Scientist,3,2259,4,No,3,13,0,0,0
947,4,3,2,Sales,Sales Executive,3,6932,1,No,3,9,9,8,0
949,2,3,1,Research & Development,Research Scientist,4,4678,2,No,3,8,6,2,0
950,4,3,3,Research & Development,Research Director,1,13582,1,No,3,15,15,12,5
951,3,2,1,Research & Development,Laboratory Technician,2,2332,6,No,4,5,3,0,0
952,3,2,1,Sales,Sales Representative,2,2413,1,Yes,3,1,1,0,0
