EmployeeNumber,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceLevel
287,40,9,5,Life Sciences,Male,Married,No,4,2,2,Research & Development,Healthcare Representative,4,4876,9,No,3,5,3,2,0,Entry
288,46,1,4,Medical,Male,Divorced,No,4,3,3,Research & Development,Healthcare Representative,1,9396,7,No,3,17,4,2,0,Senior
291,32,4,4,Medical,Male,Married,Yes,4,1,3,Sales,Sales Executive,4,10400,1,No,3,14,14,8,9,Intermediate
292,30,1,1,Life Sciences,Male,Single,No,3,2,3,Research & Development,Manufacturing Director,3,8474,1,No,4,12,11,8,5,Intermediate
293,27,20,3,Life Sciences,Female,Single,No,4,3,2,Sales,Sales Executive,3,9981,1,No,3,7,7,7,0,Entry
296,51,8,4,Life Sciences,Male,Married,No,2,2,3,Research & Development,Research Director,2,12490,5,No,3,16,10,9,4,Senior
297,30,3,3,Technical Degree,Female,Single,Yes,4,3,1,Research & Development,Research Scientist,1,2657,5,Yes,3,8,5,2,0,Entry
298,41,6,3,Life Sciences,Female,Single,No,4,3,3,Sales,Manager,4,13591,3,Yes,3,16,1,0,0,Senior
299,30,26,4,Marketing,Female,Single,Yes,3,2,2,Sales,Sales Executive,1,6696,5,No,3,9,6,3,0,Entry
300,29,1,3,Technical Degree,Male,Single,Yes,3,3,1,Research & Development,Research Scientist,3,2058,0,No,3,7,6,2,1,Entry
302,45,6,3,Medical,Female,Single,No,4,2,3,Sales,Sales Executive,4,8865,6,No,3,23,19,7,12,Senior
303,54,3,3,Marketing,Female,Married,No,4,3,2,Sales,Sales Executive,1,5940,2,No,3,16,6,2,0,Senior
304,36,5,2,Life Sciences,Male,Single,No,4,3,2,Research & Development,Laboratory Technician,2,5914,8,No,3,16,13,11,3,Senior
305,33,4,4,Medical,Female,Married,No,3,2,1,Research & Development,Research Scientist,2,2622,6,No,4,7,3,2,1,Entry
306,37,11,3,Other,Male,Divorced,No,2,3,3,Research & Development,Research Director,4,12185,1,Yes,3,10,10,8,0,Intermediate
307,38,3,3,Life Sciences,Male,Divorced,No,1,3,3,Sales,Sales Executive,3,10609,0,No,3,17,16,10,5,Senior
308,31,1,4,Medical,Male,Married,No,3,1,2,Research & Development,Manufacturing Director,3,4345,0,No,3,6,5,4,1,Entry
309,59,3,3,Life Sciences,Male,Married,No,3,2,1,Research & Development,Research Scientist,4,2177,3,No,3,7,1,0,0,Entry
311,37,4,4,Marketing,Male,Divorced,No,1,3,1,Sales,Sales Representative,4,2793,4,No,3,13,9,8,5,Intermediate
312,29,1,1,Medical,Female,Married,No,2,3,3,Sales,Sales Executive,4,7918,1,No,3,11,11,10,4,Intermediate
314,35,1,3,Marketing,Female,Single,No,3,3,3,Sales,Sales Executive,3,8789,1,No,3,10,10,7,0,Intermediate
315,29,18,1,Medical,Male,Single,Yes,3,2,1,Research & Development,Research Scientist,4,2389,1,Yes,3,4,4,3,0,Entry
316,52,2,3,Life Sciences,Female,Single,No,3,2,1,Research & Development,Laboratory Technician,4,3212,7,No,3,6,2,2,2,Entry
319,42,4,2,Technical Degree,Male,Married,No,3,3,5,Research & Development,Manager,4,19232,1,No,3,22,22,17,11,Senior
321,59,6,2,Medical,Male,Married,No,2,3,1,Human Resources,Human Resources,3,2267,8,No,3,7,2,2,2,Entry
323,50,1,4,Medical,Female,Divorced,No,4,3,5,Sales,Manager,4,19517,3,No,3,32,7,0,0,Senior
325,33,14,3,Medical,Male,Married,Yes,3,3,1,Research & Development,Laboratory Technician,4,2436,5,Yes,3,8,5,4,0,Entry
327,43,16,3,Marketing,Female,Married,No,4,3,4,Sales,Manager,4,16064,5,Yes,4,22,17,13,1,Senior
328,33,2,2,Life Sciences,Female,Married,Yes,1,3,1,Research & Development,Laboratory Technician,1,2707,7,No,4,13,9,7,1,Intermediate
329,52,2,4,Life Sciences,Male,Single,No,1,2,5,Sales,Manager,3,19068,1,Yes,3,33,33,7,15,Senior
330,32,4,2,Life Sciences,Female,Married,No,3,3,1,Sales,Sales Representative,2,3931,2,No,3,6,4,3,1,Entry
331,32,1,3,Life Sciences,Male,Single,Yes,4,2,1,Research & Development,Laboratory Technician,3,3730,0,Yes,3,4,3,2,1,Entry
332,39,1,4,Medical,Female,Divorced,No,3,3,1,Research & Development,Laboratory Technician,3,2232,7,No,3,7,3,2,1,Entry
333,32,26,4,Marketing,Male,Married,No,3,3,2,Sales,Sales Executive,4,4465,0,No,3,4,3,2,2,Entry
334,41,19,2,Life Sciences,Male,Divorced,No,3,3,2,Research & Development,Research Scientist,1,3072,2,No,3,17,1,0,0,Senior
335,40,24,2,Technical Degree,Male,Divorced,No,1,3,2,Research & Development,Research Scientist,4,3319,1,No,3,9,9,8,4,Entry
336,45,1,3,Other,Male,Married,No,3,4,5,Research & Development,Manager,4,19202,0,No,3,25,24,0,1,Senior
337,31,3,4,Medical,Male,Divorced,No,2,3,3,Research & Development,Research Director,3,13675,9,No,3,9,2,2,2,Entry
338,33,5,4,Life Sciences,Female,Married,No,3,2,1,Research & Development,Research Scientist,4,2911,1,No,3,2,2,2,0,Entry
339,34,2,4,Life Sciences,Male,Married,No,4,2,2,Research & Development,Manufacturing Director,1,5957,6,No,3,13,11,9,5,Intermediate
340,37,1,2,Medical,Female,Married,No,3,2,1,Research & Development,Research Scientist,1,3920,2,No,3,17,3,1,0,Senior
341,45,7,4,Life Sciences,Male,Married,No,1,4,2,Research & Development,Manufacturing Director,3,6434,4,No,3,9,3,2,0,Entry
342,37,10,3,Medical,Male,Divorced,Yes,1,3,3,Research & Development,Manufacturing Director,3,10048,6,No,3,17,1,0,0,Senior
343,39,2,4,Technical Degree,Female,Single,No,3,3,3,Research & Development,Healthcare Representative,3,10938,0,No,4,20,19,6,11,Senior
346,29,15,3,Life Sciences,Male,Single,No,3,3,1,Research & Development,Research Scientist,4,2340,1,No,3,6,6,5,1,Entry
347,42,17,2,Life Sciences,Female,Single,No,4,4,2,Research & Development,Research Scientist,1,6545,3,Yes,3,10,3,2,0,Intermediate
349,29,20,2,Marketing,Male,Divorced,No,4,3,2,Sales,Sales Executive,4,6931,2,No,3,10,3,2,0,Intermediate
350,25,1,3,Life Sciences,Female,Married,No,1,3,2,Research & Development,Manufacturing Director,3,4898,0,No,3,5,4,2,1,Entry
351,42,2,3,Medical,Female,Divorced,No,4,2,1,Research & Development,Laboratory Technician,1,2593,0,Yes,3,10,9,6,7,Intermediate
352,40,2,2,Medical,Male,Divorced,No,1,3,5,Research & Development,Research Director,3,19436,0,No,3,22,21,7,3,Senior
353,51,1,3,Life Sciences,Male,Married,No,3,3,1,Research & Development,Research Scientist,4,2723,1,No,3,1,1,0,0,Entry
355,31,29,2,Medical,Male,Single,Yes,3,2,1,Research & Development,Laboratory Technician,2,3479,0,No,3,6,5,4,1,Entry
359,32,7,3,Life Sciences,Male,Married,No,2,4,1,Research & Development,Laboratory Technician,2,2794,1,No,4,5,5,1,0,Entry
361,38,2,2,Life Sciences,Male,Married,No,4,2,2,Sales,Sales Executive,4,5249,3,No,3,13,8,7,7,Intermediate
362,32,2,1,Technical Degree,Male,Single,No,4,2,2,Research & Development,Laboratory Technician,1,2176,4,No,3,9,6,2,0,Entry
363,46,2,3,Technical Degree,Female,Married,No,3,1,4,Sales,Manager,2,16872,3,Yes,3,28,7,7,7,Senior
364,28,2,4,Life Sciences,Male,Single,Yes,1,3,1,Research & Development,Laboratory Technician,3,3485,2,No,3,5,0,0,0,Entry
366,29,2,3,Medical,Male,Married,No,1,2,2,Sales,Sales Executive,2,6644,2,No,3,10,0,0,0,Intermediate
367,31,23,3,Medical,Male,Married,No,2,2,2,Research & Development,Healthcare Representative,4,5582,0,No,4,10,9,0,7,Intermediate
369,25,5,2,Life Sciences,Male,Divorced,No,2,4,2,Research & Development,Healthcare Representative,1,4000,1,No,3,6,6,3,1,Entry
372,45,20,2,Medical,Male,Married,No,3,3,4,Research & Development,Healthcare Representative,4,13496,0,Yes,3,21,20,7,4,Senior
373,36,6,3,Life Sciences,Male,Married,No,4,3,1,Research & Development,Laboratory Technician,4,3210,0,No,3,16,15,13,10,Senior
374,55,1,3,Medical,Male,Single,No,4,3,5,Research & Development,Manager,1,19045,0,Yes,3,37,36,10,4,Senior
376,47,29,4,Life Sciences,Male,Married,Yes,1,3,3,Research & Development,Manager,2,11849,1,Yes,3,10,10,7,9,Intermediate
377,28,9,3,Medical,Male,Married,No,4,3,1,Research & Development,Research Scientist,4,2070,1,No,4,5,5,2,0,Entry
378,37,6,4,Medical,Male,Married,No,3,3,2,Sales,Sales Executive,4,6502,4,No,3,7,5,4,0,Entry
379,21,3,2,Medical,Male,Single,No,4,2,1,Research & Development,Research Scientist,3,3230,1,No,3,3,3,2,1,Entry
380,37,1,4,Medical,Female,Divorced,No,1,3,3,Research & Development,Research Director,4,13603,2,Yes,3,15,5,2,0,Entry
381,35,22,3,Life Sciences,Female,Divorced,No,2,4,3,Research & Development,Manager,2,11996,7,No,3,10,7,7,6,Intermediate
382,38,7,2,Medical,Female,Divorced,No,1,4,2,Sales,Sales Executive,1,5605,1,Yes,4,8,8,0,7,Entry
384,26,1,3,Life Sciences,Female,Divorced,No,3,3,2,Research & Development,Manufacturing Director,2,6397,1,No,4,6,6,5,1,Entry
385,50,4,1,Life Sciences,Male,Divorced,No,1,3,5,Research & Development,Research Director,2,19144,3,No,3,28,10,4,1,Senior
386,53,3,4,Medical,Male,Married,No,3,3,4,Research & Development,Research Director,3,17584,3,Yes,3,21,5,3,1,Senior
387,42,1,1,Life Sciences,Male,Married,No,2,3,2,Sales,Sales Executive,3,4907,1,No,4,20,20,16,11,Senior
388,29,2,2,Life Sciences,Male,Single,No,2,3,2,Sales,Sales Executive,4,4554,1,No,3,10,10,7,0,Intermediate
389,55,20,2,Technical Degree,Male,Married,No,2,3,2,Research & Development,Laboratory Technician,4,5415,3,Yes,3,12,10,7,0,Intermediate
390,26,11,2,Medical,Male,Married,No,1,3,2,Research & Development,Healthcare Representative,1,4741,1,Yes,3,5,5,3,3,Entry
391,37,1,3,Life Sciences,Female,Single,No,4,3,1,Research & Development,Research Scientist,4,2115,1,No,3,17,17,12,5,Senior
392,44,24,3,Life Sciences,Male,Divorced,Yes,4,3,1,Research & Development,Laboratory Technician,3,3161,3,Yes,4,19,1,0,0,Senior
393,38,23,4,Life Sciences,Male,Divorced,No,4,3,2,Research & Development,Healthcare Representative,4,5745,9,No,3,10,2,2,1,Intermediate
394,26,16,4,Medical,Male,Divorced,Yes,1,3,1,Research & Development,Laboratory Technician,2,2373,2,Yes,3,5,3,2,0,Entry
395,28,8,2,Life Sciences,Female,Single,No,4,3,1,Research & Development,Research Scientist,4,3310,1,No,4,5,5,3,0,Entry
396,49,10,4,Life Sciences,Female,Single,No,3,3,5,Research & Development,Research Director,1,18665,9,Yes,3,22,3,2,1,Senior
397,36,3,3,Technical Degree,Male,Single,No,3,3,2,Research & Development,Research Scientist,2,4485,4,No,3,10,8,0,7,Intermediate
399,31,5,3,Marketing,Female,Divorced,No,4,3,1,Sales,Sales Representative,2,2789,1,No,3,2,2,2,2,Entry
401,26,4,4,Marketing,Male,Single,Yes,4,2,2,Sales,Sales Executive,4,5828,1,Yes,3,8,8,7,7,Entry
403,37,9,3,Medical,Male,Married,No,2,3,1,Research & Development,Research Scientist,4,2326,1,Yes,3,4,4,2,1,Entry
404,42,26,3,Marketing,Female,Married,No,3,3,4,Sales,Sales Executive,2,13525,5,No,3,23,20,4,4,Senior
405,18,3,3,Life Sciences,Male,Single,Yes,3,3,1,Research & Development,Laboratory Technician,3,1420,1,No,3,0,0,0,0,Entry
406,35,16,3,Marketing,Male,Married,No,3,3,3,Sales,Sales Executive,2,8020,0,No,3,12,11,9,6,Intermediate
407,36,18,4,Life Sciences,Male,Married,No,3,4,1,Research & Development,Laboratory Technician,4,3688,4,No,3,4,1,0,0,Entry
408,51,2,3,Medical,Male,Divorced,No,4,1,2,Research & Development,Manufacturing Director,2,5482,5,No,3,13,4,1,1,Intermediate
410,41,2,4,Life Sciences,Male,Single,No,4,3,4,Sales,Manager,2,16015,1,No,3,22,22,10,0,Senior
411,18,10,3,Medical,Female,Single,No,4,2,1,Sales,Sales Representative,3,1200,1,No,3,0,0,0,0,Entry
412,28,16,2,Medical,Male,Single,No,2,4,2,Research & Development,Healthcare Representative,1,5661,0,No,3,9,8,3,0,Entry
416,31,7,3,Technical Degree,Male,Married,No,2,4,2,Sales,Sales Executive,4,6929,4,No,3,10,8,7,7,Intermediate
417,39,1,3,Medical,Male,Divorced,No,3,4,3,Research & Development,Healthcare Representative,4,9613,0,No,3,19,18,10,3,Senior
419,36,24,4,Life Sciences,Female,Married,No,2,3,2,Research & Development,Laboratory Technician,2,5674,7,No,3,11,9,8,0,Intermediate
420,32,7,3,Life Sciences,Male,Married,No,4,2,2,Sales,Sales Executive,3,5484,1,No,3,13,13,8,4,Intermediate
421,38,25,2,Life Sciences,Female,Married,No,1,2,3,Research & Development,Research Director,2,12061,3,No,3,19,10,8,0,Senior
422,58,1,4,Life Sciences,Male,Divorced,No,4,1,2,Research & Development,Healthcare Representative,3,5660,2,Yes,3,12,5,3,1,Intermediate
423,31,5,4,Technical Degree,Male,Married,No,3,3,1,Research & Development,Research Scientist,4,4821,0,Yes,3,6,5,2,0,Entry
424,31,2,3,Human Resources,Male,Married,No,1,2,2,Human Resources,Human Resources,1,6410,3,No,3,9,2,2,1,Entry
425,45,7,3,Life Sciences,Male,Divorced,No,1,3,3,Research & Development,Laboratory Technician,1,5210,1,No,3,24,24,9,9,Senior
426,31,2,4,Life Sciences,Male,Divorced,No,3,3,1,Research & Development,Research Scientist,4,2695,0,Yes,3,3,2,2,2,Entry
428,33,5,4,Life Sciences,Female,Married,No,4,3,3,Research & Development,Manager,2,11878,6,No,3,12,10,6,8,Intermediate
429,39,10,1,Medical,Male,Married,No,3,3,4,Research & Development,Manager,1,17068,1,Yes,3,21,21,9,11,Senior
430,43,10,4,Life Sciences,Female,Single,No,3,3,1,Research & Development,Laboratory Technician,4,2455,0,No,3,9,8,7,1,Entry
431,49,1,2,Technical Degree,Female,Single,No,3,2,4,Research & Development,Healthcare Representative,3,13964,7,Yes,3,25,7,1,0,Senior
433,52,8,4,Medical,Male,Married,Yes,3,2,2,Research & Development,Research Scientist,2,4941,2,No,3,11,8,2,7,Intermediate
434,27,5,3,Life Sciences,Female,Single,No,3,3,1,Research & Development,Research Scientist,2,2478,1,Yes,3,4,4,3,1,Entry
436,32,8,2,Technical Degree,Female,Married,No,3,2,2,Sales,Sales Executive,2,5228,1,Yes,3,13,13,12,11,Intermediate
437,27,2,3,Life Sciences,Male,Single,No,4,3,2,Sales,Sales Executive,3,4478,1,Yes,3,5,5,4,0,Entry
438,31,7,3,Marketing,Male,Divorced,No,4,3,2,Sales,Sales Executive,4,7547,4,No,3,13,7,7,1,Intermediate
439,32,2,4,Medical,Female,Single,No,1,4,2,Research & Development,Research Scientist,4,5055,7,No,3,10,7,7,0,Intermediate
440,28,2,4,Medical,Male,Married,Yes,1,1,1,Research & Development,Research Scientist,4,3464,5,Yes,3,5,3,2,2,Entry
441,30,28,2,Medical,Female,Married,No,4,3,2,Research & Development,Research Scientist,4,5775,1,No,3,11,10,8,1,Intermediate
442,31,7,2,Life Sciences,Female,Married,No,3,2,3,Research & Development,Manufacturing Director,3,8943,1,No,4,10,10,9,8,Intermediate
444,39,7,2,Medical,Male,Married,No,3,2,5,Research & Development,Manager,4,19272,1,No,3,21,21,9,13,Senior
445,39,3,2,Medical,Female,Married,Yes,4,3,2,Sales,Sales Executive,3,5238,4,Yes,3,12,1,0,0,Intermediate
446,33,10,3,Marketing,Male,Single,No,2,2,2,Sales,Sales Executive,4,4682,3,No,3,9,7,7,0,Entry
447,47,5,5,Life Sciences,Male,Married,No,4,3,5,Research & Development,Research Director,3,18300,4,No,3,21,3,2,1,Senior
448,43,10,4,Life Sciences,Female,Divorced,No,3,2,2,Research & Development,Laboratory Technician,3,5257,1,No,3,9,9,7,0,Entry
449,27,1,1,Marketing,Male,Married,No,3,3,2,Sales,Sales Executive,2,6349,0,Yes,3,6,5,4,1,Entry
450,54,20,4,Life Sciences,Female,Single,No,4,3,2,Research & Development,Research Scientist,3,4869,3,No,3,20,4,3,0,Senior
451,43,7,3,Life Sciences,Female,Married,No,3,3,3,Research & Development,Healthcare Representative,1,9985,8,No,3,10,1,0,0,Intermediate
452,45,8,4,Other,Male,Married,No,4,3,2,Research & Development,Research Scientist,4,3697,9,No,3,12,10,9,9,Intermediate
453,40,1,2,Medical,Male,Married,No,2,1,2,Sales,Sales Executive,4,7457,2,Yes,4,6,4,3,0,Entry
454,29,8,4,Other,Male,Married,Yes,2,1,1,Research & Development,Laboratory Technician,1,2119,1,Yes,3,7,7,7,0,Entry
455,29,9,5,Other,Male,Single,No,2,2,1,Research & Development,Laboratory Technician,4,3983,0,No,3,4,3,2,2,Entry
456,30,5,3,Marketing,Female,Divorced,No,4,2,2,Sales,Sales Executive,3,6118,1,No,3,10,10,9,1,Intermediate
458,27,8,4,Marketing,Female,Married,No,2,3,2,Sales,Sales Executive,2,6214,1,No,3,8,8,7,0,Entry
460,37,5,2,Medical,Male,Divorced,No,4,3,2,Research & Development,Manufacturing Director,4,6347,7,No,3,8,6,2,0,Entry
461,38,15,2,Life Sciences,Male,Divorced,No,3,2,3,Research & Development,Research Director,4,11510,0,Yes,3,12,11,10,2,Intermediate
462,31,7,4,Medical,Female,Single,No,3,3,3,Research & Development,Manufacturing Director,4,7143,1,Yes,3,11,11,9,4,Intermediate
463,29,10,1,Marketing,Female,Divorced,No,4,2,2,Sales,Sales Executive,2,8268,1,Yes,3,7,7,7,1,Entry
464,35,5,4,Technical Degree,Male,Single,No,3,3,3,Research & Development,Manufacturing Director,2,8095,0,No,3,17,16,6,0,Senior
465,23,26,1,Life Sciences,Male,Divorced,No,3,3,1,Research & Development,Research Scientist,4,2904,1,No,3,4,4,2,0,Entry
466,41,6,3,Medical,Male,Single,No,4,2,2,Research & Development,Manufacturing Director,2,6032,6,Yes,3,8,5,4,1,Entry
467,47,4,1,Medical,Male,Single,No,2,3,2,Sales,Sales Representative,3,2976,3,No,3,5,0,0,0,Entry
468,42,23,5,Life Sciences,Female,Single,No,1,3,4,Research & Development,Research Director,4,15992,2,No,3,16,1,0,0,Senior
469,29,2,3,Life Sciences,Male,Married,No,4,3,2,Sales,Sales Executive,3,4649,1,No,3,4,4,3,0,Entry
470,42,2,1,Technical Degree,Male,Divorced,No,3,3,1,Human Resources,Human Resources,3,2696,0,Yes,3,4,3,2,1,Entry
471,32,2,3,Medical,Female,Married,No,3,3,1,Research & Development,Laboratory Technician,2,2370,1,No,3,8,8,0,0,Entry
473,48,29,1,Medical,Female,Married,No,1,3,3,Sales,Manager,3,12504,3,No,4,15,0,0,0,Entry
474,37,6,3,Medical,Male,Divorced,No,3,4,2,Research & Development,Research Scientist,1,5974,4,Yes,3,13,7,7,6,Intermediate
475,30,25,2,Technical Degree,Female,Married,No,4,3,2,Sales,Sales Executive,3,4736,7,Yes,3,4,2,2,2,Entry
476,26,1,3,Life Sciences,Male,Married,No,3,3,2,Sales,Sales Executive,3,5296,1,No,3,8,8,7,7,Entry
477,42,2,4,Other,Male,Single,No,1,2,2,Research & Development,Healthcare Representative,4,6781,3,No,4,14,1,0,0,Intermediate
478,21,1,1,Technical Degree,Female,Single,Yes,1,2,1,Sales,Sales Representative,2,2174,1,Yes,3,3,3,2,1,Entry
479,36,1,5,Medical,Female,Single,No,4,3,2,Sales,Sales Executive,4,6653,4,No,3,7,1,0,0,Entry
481,36,3,4,Medical,Male,Married,No,1,2,3,Sales,Sales Executive,4,9699,4,No,3,16,13,9,1,Senior
482,57,1,4,Medical,Male,Married,No,4,3,2,Research & Development,Healthcare Representative,3,6755,2,No,3,15,3,2,1,Entry
483,40,10,4,Life Sciences,Female,Married,No,4,4,1,Research & Development,Laboratory Technician,3,2213,3,Yes,3,10,7,7,1,Intermediate
484,21,9,2,Medical,Male,Single,No,1,3,1,Sales,Sales Representative,4,2610,1,No,4,3,3,2,2,Entry
485,33,5,3,Marketing,Female,Single,Yes,4,3,1,Sales,Sales Representative,3,2851,1,Yes,3,1,1,0,0,Entry
486,37,10,3,Medical,Female,Married,No,3,3,1,Research & Development,Laboratory Technician,1,3452,6,No,4,17,5,4,0,Senior
487,46,7,4,Medical,Female,Married,No,3,3,2,Research & Development,Manufacturing Director,3,5258,2,No,3,7,1,0,0,Entry
488,41,4,3,Marketing,Male,Single,Yes,1,3,2,Sales,Sales Executive,2,9355,1,No,3,8,8,7,7,Entry
491,50,10,3,Technical Degree,Male,Single,No,4,2,3,Research & Development,Healthcare Representative,4,10496,6,No,3,20,4,3,1,Senior
492,40,22,2,Marketing,Male,Married,Yes,3,2,2,Sales,Sales Executive,3,6380,2,Yes,3,8,6,4,1,Entry
493,31,9,4,Life Sciences,Male,Single,No,3,2,1,Research & Development,Research Scientist,2,2657,0,Yes,3,3,2,2,2,Entry
494,21,12,3,Life Sciences,Female,Single,Yes,3,4,1,Sales,Sales Representative,2,2716,1,No,3,1,1,0,0,Entry
495,29,23,3,Life Sciences,Male,Single,No,4,3,1,Research & Development,Research Scientist,4,2201,9,No,3,6,3,2,1,Entry
496,35,9,4,Life Sciences,Male,Single,No,3,2,2,Research & Development,Healthcare Representative,2,6540,9,No,3,10,1,1,0,Intermediate
497,27,1,2,Medical,Male,Divorced,No,4,3,1,Research & Development,Laboratory Technician,2,3816,1,No,3,5,5,2,0,Entry
498,28,9,4,Life Sciences,Male,Single,No,2,3,2,Sales,Sales Executive,4,5253,1,No,3,7,7,5,0,Entry
499,49,7,3,Other,Male,Single,No,2,2,3,Research & Development,Healthcare Representative,3,10965,8,No,4,26,5,2,0,Senior
500,51,14,2,Life Sciences,Female,Married,No,3,3,2,Sales,Sales Executive,4,4936,4,No,3,18,7,7,0,Senior
501,36,2,3,Life Sciences,Female,Married,No,4,3,1,Research & Development,Research Scientist,3,2543,4,No,3,6,2,2,2,Entry
502,34,19,3,Marketing,Male,Single,Yes,1,4,2,Sales,Sales Executive,4,5304,8,Yes,3,9,5,2,0,Entry
505,55,2,3,Life Sciences,Female,Single,No,3,3,4,Research & Development,Manager,4,16659,2,Yes,3,30,5,4,1,Senior
507,24,10,4,Marketing,Female,Divorced,No,4,3,2,Sales,Sales Executive,3,4260,1,Yes,3,5,5,2,0,Entry
508,30,2,1,Technical Degree,Male,Married,No,3,3,1,Sales,Sales Representative,2,2476,1,No,3,1,1,0,0,Entry
510,26,3,1,Technical Degree,Male,Single,Yes,3,3,1,Research & Development,Research Scientist,1,3102,0,No,4,7,6,4,0,Entry
511,22,11,3,Medical,Female,Married,No,1,3,1,Research & Development,Research Scientist,2,2244,1,No,3,2,2,1,1,Entry
513,36,2,2,Medical,Male,Married,No,2,2,3,Sales,Sales Executive,3,7596,1,No,3,10,10,9,9,Intermediate
514,30,4,3,Technical Degree,Male,Single,Yes,3,3,1,Research & Development,Research Scientist,4,2285,9,Yes,4,3,1,0,0,Entry
515,37,14,3,Life Sciences,Female,Divorced,No,4,3,1,Research & Development,Laboratory Technician,1,3034,1,No,3,18,18,7,12,Senior
516,40,2,2,Marketing,Female,Divorced,No,4,3,2,Sales,Sales Executive,2,5715,7,No,3,8,5,4,1,Entry
517,42,1,4,Life Sciences,Female,Divorced,No,2,3,1,Research & Development,Laboratory Technician,1,2576,3,No,3,8,5,2,1,Entry
518,37,10,4,Life Sciences,Male,Single,No,3,3,2,Research & Development,Manufacturing Director,2,4197,2,Yes,3,18,1,0,0,Senior
520,43,12,3,Life Sciences,Male,Divorced,No,1,2,4,Research & Development,Research Director,2,14336,1,No,3,25,25,10,3,Senior
521,40,2,3,Medical,Female,Married,No,2,2,2,Research & Development,Laboratory Technician,3,3448,6,No,4,20,1,0,0,Senior
522,54,5,2,Medical,Male,Married,No,1,3,5,Research & Development,Research Director,1,19406,4,No,3,24,4,2,1,Senior
523,34,4,4,Marketing,Female,Married,No,3,3,2,Sales,Sales Executive,3,6538,9,No,3,6,3,2,1,Entry
524,31,7,2,Medical,Female,Married,No,2,3,2,Research & Development,Manufacturing Director,1,4306,1,No,3,13,13,10,3,Intermediate
525,43,21,3,Medical,Male,Married,No,4,3,1,Research & Development,Laboratory Technician,4,2258,7,No,4,8,3,2,1,Entry
526,43,8,4,Other,Female,Divorced,No,3,3,2,Research & Development,Healthcare Representative,3,4522,4,Yes,3,8,5,2,0,Entry
527,25,4,2,Life Sciences,Female,Single,No,2,2,2,Sales,Sales Executive,4,4487,1,Yes,3,5,5,4,1,Entry
529,37,25,5,Medical,Female,Married,No,2,3,2,Research & Development,Research Scientist,3,4449,3,Yes,3,15,13,11,10,Entry
530,31,1,2,Life Sciences,Male,Married,No,4,2,1,Research & Development,Laboratory Technician,1,2218,1,No,3,4,4,2,3,Entry
531,39,1,1,Life Sciences,Male,Divorced,No,2,3,5,Research & Development,Manager,3,19197,1,Yes,3,21,21,8,1,Senior
532,56,6,3,Life Sciences,Female,Married,No,3,4,4,Sales,Sales Executive,1,13212,9,No,3,36,7,7,7,Senior
533,30,12,3,Technical Degree,Female,Single,No,2,3,2,Sales,Sales Executive,3,6577,0,No,3,6,5,4,4,Entry
534,41,1,3,Marketing,Male,Married,No,2,4,3,Sales,Sales Executive,1,8392,1,No,3,10,10,7,0,Intermediate
536,28,17,2,Medical,Male,Divorced,No,3,3,2,Research & Development,Laboratory Technician,1,4558,1,No,3,10,10,0,1,Intermediate
538,25,3,3,Medical,Male,Married,Yes,1,3,1,Research & Development,Laboratory Technician,1,4031,5,No,3,6,2,2,0,Entry
543,52,3,3,Medical,Male,Married,No,4,2,3,Research & Development,Manufacturing Director,3,7969,2,Yes,3,28,5,4,0,Senior
544,45,10,2,Life Sciences,Male,Married,No,1,3,1,Research & Development,Research Scientist,4,2654,3,No,4,8,2,2,0,Entry
546,52,4,2,Life Sciences,Female,Married,No,4,3,4,Research & Development,Manager,4,16555,2,No,3,31,5,2,1,Senior
547,42,29,2,Life Sciences,Female,Divorced,No,1,3,2,Research & Development,Research Scientist,3,4556,2,No,3,19,5,4,0,Senior
548,30,2,3,Life Sciences,Female,Single,No,3,1,2,Research & Development,Manufacturing Director,4,6091,2,No,4,11,5,4,0,Intermediate
549,60,7,3,Life Sciences,Female,Married,No,1,3,5,Research & Development,Manager,1,19566,5,No,3,33,29,8,11,Senior
550,46,18,3,Medical,Female,Divorced,No,3,3,2,Research & Development,Manufacturing Director,3,4810,2,No,3,19,10,7,0,Senior
551,42,28,4,Technical Degree,Female,Married,No,4,2,2,Research & Development,Healthcare Representative,4,4523,0,No,3,7,6,5,0,Entry
554,24,1,1,Technical Degree,Female,Single,Yes,1,3,1,Sales,Sales Representative,2,3202,1,Yes,3,6,5,3,1,Entry
555,34,6,2,Marketing,Female,Divorced,Yes,4,1,1,Sales,Sales Representative,3,2351,0,No,3,3,2,2,1,Entry
556,38,2,2,Life Sciences,Male,Married,No,4,3,1,Research & Development,Laboratory Technician,4,1702,1,Yes,4,1,1,0,0,Entry
558,40,2,4,Life Sciences,Female,Married,No,3,3,5,Sales,Manager,3,18041,0,No,3,21,20,15,1,Senior
560,26,23,3,Life Sciences,Female,Divorced,No,1,3,1,Research & Development,Research Scientist,4,2886,1,No,4,3,3,2,0,Entry
562,30,3,3,Life Sciences,Male,Married,No,3,3,1,Research & Development,Laboratory Technician,4,2097,4,No,3,9,5,3,1,Entry
